Page Title,Section Titles to Display (comma separated),URL of image to display,"Question 1: Text, no need for image",Answer 1,Distractors 1 (comma separated),"Question 2: Text, no need for image",Answer 2,Distractors 2 (comma separated),"Question 3: Text, physical description",Answer 3 ,Distractors 3 (comma separated),"Question 4: Text, physical description",Answer 4,Distractors 4  (comma separated),Image question,Image answer url,Image distractor 1,Image distractor 2,Image distractor 3
La Scapigliata,"Main, description",https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Leonardo_da_vinci_-_La_scapigliata.jpg/600px-Leonardo_da_vinci_-_La_scapigliata.jpg,"When was ""La Scapigliata"" painted?",Around 1500-1510,"Around 1600-1610, in 1555, in 1942",Who is the painting attributed to?,Leonardo da Vinci,"Michelangelo, Sandro Botticelli, Caravaggio",The eyes of the woman depicted are wide open,FALSE,TRUE,Which part of the painting is actually finished?,The Face,"The hair, the background,  the body","Which of these paintings is ""La Scapigliata""?",https://commons.wikimedia.org/wiki/Category:La_Scapigliata_by_Leonardo_da_Vinci#/media/File:La_Scapigliata_(Leonard_de_Vinci).jpg,"https://commons.wikimedia.org/wiki/File:L%C3%A9onard_de_Vinci_-_Vierge,_Enfant_J%C3%A9sus,_ste_Anne_%26_st_Jean-Baptiste_1.jpg",https://upload.wikimedia.org/wikipedia/commons/7/7e/Study_for_the_Kneeling_Leda.jpg,https://upload.wikimedia.org/wikipedia/commons/9/94/Leonardo_study_Madonna_of_the_rocks.jpeg
"Children's Peace Monument
","Main, Overview, Monument",https://upload.wikimedia.org/wikipedia/commons/5/55/Children%60s_Peace_Monument_%E5%85%92%E7%AB%A5%E5%92%8C%E5%B9%B3%E7%B4%80%E5%BF%B5%E7%A2%91_-_panoramio_%281%29.jpg,"Where is the Children's Peace Monument
located?",Japan,"China, United States, Indonesia",What was the statue unveiled?,in 1958,"In 1980, in 1992, in 1945",Which material is the crane hanging beneath the main structure of the monument?,Bronze,"Paper, balck marble, gold",What are the figures surrounding the monument?,Angels,"Birds, Planes, Gods",Which of these is the Children's Peace Monument? ,https://commons.wikimedia.org/wiki/File:DSC_0298_-_panoramio.jpg,https://commons.wikimedia.org/wiki/File:Cenotaph_for_the_A_bomb_victims.jpg,https://upload.wikimedia.org/wikipedia/commons/3/38/Haneda_otorii1.JPG,https://upload.wikimedia.org/wikipedia/commons/3/3e/Paper_Cranes.jpg
Macrolepiota procera,"Main, Description, Uses",https://upload.wikimedia.org/wikipedia/commons/c/c1/ParasolMushroom.JPG,"In which regions can you find the ""parasol"" mushroom?",In temperate regions,"in artic regions, in sub-saharan regions, in tropical regions",Is the parasol mushroom edible?,Yes,No,"At full maturity, which shape does the cap have?",Flat,"Egg, Saddle, Free form",What is the characteristic pattern of the parasol mushroom's cap?,Snakeskin-like,"Polka dots, Spiral, Radial",Which of these examples is a Macrolepiota procera?,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Parasol_mushroom.jpg/120px-Parasol_mushroom.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Fliegenpilz-1.jpg/440px-Fliegenpilz-1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Fliegenpilz-1.jpg/440px-Fliegenpilz-1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Amiant-K%C3%B6rnchenschirmling_Cystoderma_amianthinum.jpg/468px-Amiant-K%C3%B6rnchenschirmling_Cystoderma_amianthinum.jpg
Bagna càuda,"Main, Overview",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Bagna_Cauda_a_la_Champaqu%C3%AD_019.jpg/250px-Bagna_Cauda_a_la_Champaqu%C3%AD_019.jpg,Which Italian region is Bagna Caoda from?,Piedmont,"Sicily, Sardinia, Apulia",What is generally bagna caoda served with?,Vegetables," Meat, Pasta, Fish",Which type of dish is Bagna Cauda?,Sauce,"Pie, Dessert, vegetable",Which Color is Bagna Cauda?,Beige,"Red, Green, Black",What is an example of Bagna Cauda?,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Bagna_c%C3%A0uda_%282016-01-30%29.jpg/230px-Bagna_c%C3%A0uda_%282016-01-30%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Swiss_fondue.jpg/250px-Swiss_fondue.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Chocolatefondue.JPG/220px-Chocolatefondue.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Fondue2.jpg/220px-Fondue2.jpg
Eucomis,"Main, Distribution_and_habitat, Cultivation",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Eucomis_autumnalis_2_cropped.jpg/220px-Eucomis_autumnalis_2_cropped.jpg,In which period does the eucomis flower? ,,"Winter,Summer,Fall",Does Eucomis grow in dry regions?,No,Yes,The eucomis has foliage on top which makes it resemble a pineapple,TRUE,FALSE,What is the shape of eucomis flowers,Star,"Funnel,Tube,Bowl",Which of these is an Eucomis?,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Eucomis_bicolor_01.jpg/202px-Eucomis_bicolor_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Lilac_Flower%26Leaves%2C_SC%2C_Vic%2C_13.10.2007.jpg/220px-Lilac_Flower%26Leaves%2C_SC%2C_Vic%2C_13.10.2007.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/%E0%B4%95%E0%B5%88%E0%B4%A4%E0%B4%9A%E0%B5%8D%E0%B4%9A%E0%B4%95%E0%B5%8D%E0%B4%95.jpg/220px-%E0%B4%95%E0%B5%88%E0%B4%A4%E0%B4%9A%E0%B5%8D%E0%B4%9A%E0%B4%95%E0%B5%8D%E0%B4%95.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2d/Ornithogalum_narbonense.jpg
Pagoda,Main,https://upload.wikimedia.org/wikipedia/commons/e/ed/Horyu-ji09s3200.jpg,What are pagodas built of? ,"Either wood, brick, or stone","Wood, Cement, Metal",What religion uses Pagodas?,Buddism,"Confucianism, Benzhuism, Hinduism",How many levels do pagodas usually have?,Between 3-13 levels,"Between 10-20 levels, At least 7 levels, At least 4 levels",Do pagodas always have a square base?,No,yes,Which pictures are NOT an example of a Chinese pagoda?,https://upload.wikimedia.org/wikipedia/commons/c/ca/Shwedagon-Pano.jpg,https://upload.wikimedia.org/wikipedia/commons/0/02/Baoguangsi.jpg,https://upload.wikimedia.org/wikipedia/commons/7/72/The_Fugong_Temple_Wooden_Pagoda.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7b/Tianning_Pagoda_1.JPG
Monet,"Main, Paris and Algeria","https://en.wikipedia.org/wiki/File:Claude_Monet,_Impression,_soleil_levant.jpg",What art movement did Monet found?,Impressionism,"Expressionism, Naturalism, Romanticism",What is the subject of some of Monet's best-known works?,Lily ponds,"Horses, Cathedrals, Forests",What was specific to the style of Monet and his fellow Impressionists? ,They painted the effects of light en plain air,"They only painted indoors, They used long brush strokes, They mostly copied from old masters ",Did Monet predominantly use primary colors? ,No,Yes,Which is a Monet painting?,https://en.wikipedia.org/wiki/File:Claude_Monet_La_Grenouill%C3%A9re.jpg,"https://en.wikipedia.org/wiki/File:The_Fighting_Temeraire,_JMW_Turner,_National_Gallery.jpg",https://en.wikipedia.org/wiki/File:Alfred_Sisley_001.jpg,"https://en.wikipedia.org/wiki/File:Wassily_Kandinsky,_1903,_The_Blue_Rider_(Der_Blaue_Reiter),_oil_on_canvas,_52.1_x_54.6_cm,_Stiftung_Sammlung_E.G._B%C3%BChrle,_Zurich.jpg"
Taj Mahal,"Main, Architecture and Design",https://en.wikipedia.org/wiki/File:Taj_Mahal_(Edited).jpeg,In what city is the Taj Mahal located?,Agra,"New Delhi, Jaipur, Ahmedabad",What material is the Taj Mahal dome made of?,Marble,"Sandstone, White granite, Wood",The design of the Taj Mahal is completely symmetrical on all sides of the building.,TRUE,False ,How many minarets does the Taj Mahal have? ,4,"2, 6, 8, ",Which is not part of the Taj Mahal?,https://en.wikipedia.org/wiki/File:TUNISIE_MONASTIR_MAUSOLEE_BOURGHIBA_03.jpg,https://en.wikipedia.org/wiki/File:The_main_gateway_(darwaza)_to_the_Taj_Mahal.jpg,https://en.wikipedia.org/wiki/File:Persian_prince_tomb_taj_mahal.jpg,https://en.wikipedia.org/wiki/File:Facade_of_Taj_Mahal_(4718894898).jpg
Blue whale,"Main, Morphology",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Anim1754_-_Flickr_-_NOAA_Photo_Library.jpg/1920px-Anim1754_-_Flickr_-_NOAA_Photo_Library.jpg,What does a blue whale's diet mostly consist of?,Krill,"Smaller fish, Algae, Shellfish ",Is blue whale the largest species of whale? ,Yes,No,What is one of the distinguishing features of blue whales? ,a unique pigmentation pattern along the back in the region of the dorsal fin,"the head represents up to one-third of the animal's length; it has a very large, block-shaped head; it has an S-shaped blow hole",How many blowholes does the blue whale have?,1,"2,3,4",Which is (part of) the skelleton of a blue whale?,https://upload.wikimedia.org/wikipedia/commons/5/50/Joey_williams_with_a_19_foot_long_blue_whale_skull.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Physeter_macrocephalus_-_skeleton.jpg/1000px-Physeter_macrocephalus_-_skeleton.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Zalophus_californianus_01.JPG/400px-Zalophus_californianus_01.JPG,https://en.wikipedia.org/wiki/File:Gray_whale_skeleton.jpg
Leafy seadragon,"Main, Description",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Leafy_Seadragon_on_Kangaroo_Island.jpg/2560px-Leafy_Seadragon_on_Kangaroo_Island.jpg,Where can the leafy seadragon be found?,along the southern and western coasts of Australia,"in the Indian Ocean, in the South Atlantic, in the Sea of Japan",What is a distinguished characteristic of the Leafy Seadragon? ,it has leaf-like protrusions coming from all over the body,"it has a cluster of black dots on its back, it has two prominent antennae, it has a curly tail-like abdomen which enables it to hold onto underwater plants ",What do leafy seadragons feed on? ,plankton,"algae, small fish, moon snails",What color is the leafy seadragon?,orange-brown,"brown-black, dark blue, green-blue",Which is a leafy seadragon?,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Leafy_Sea_Dragon_SA.jpg/2560px-Leafy_Sea_Dragon_SA.jpg,https://upload.wikimedia.org/wikipedia/commons/c/ca/Alligator_Pipefish_2.jpg,https://upload.wikimedia.org/wikipedia/commons/7/79/Phyllopteryx_taeniolatus1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Hippocampus.jpg/1024px-Hippocampus.jpg
Arc de Triomf,"Main, Design",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Barcelona_-_Arc_de_Triomf_%282%29.JPG/600px-Barcelona_-_Arc_de_Triomf_%282%29.JPG,In which occasion was the Arc de Triompf built?,The Barcelona World Fair,"The end of the Second World War, The end of the Spanish Civil War, The fall of Barcelona in 1714",Which one is the Arc de Triompf's architectonic style?,Neo-Mudéjar,"Art-deco, Baroque, Gothiic",Which material is the Arc de Triompf built with?,Red Brickwork,"Marble, Bronze, Wood",What is the material of the sculture in the main frieze,Stone,"Marble, Brickwork, Brass",Which of these is Barcelona's Arc de Triompf?,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/14-08-06-barcelona-RalfR-002.jpg/800px-14-08-06-barcelona-RalfR-002.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Arcul_de_triumf.jpg/440px-Arcul_de_triumf.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Arc_de_Triomphe%2C_Paris_5_February_2019.jpg/480px-Arc_de_Triomphe%2C_Paris_5_February_2019.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Soldiers%27_and_Sailors%27_Arch.jpg/440px-Soldiers%27_and_Sailors%27_Arch.jpg
Suspiro de limeña,"Main, Origin, Preparation",https://en.wikipedia.org/wiki/Suspiro_de_lime%C3%B1a,The merengue in the top layer is made of egg white and which other ingredient?,Port wine syrup,"Corn syrup, Maple syrup, Water and sugar syrup","The Suspiro de limeña
is characteristic of which city?",Lima,"Arequipa, Trujillo, Piura",What is the color of the cream in the Suspiro de limeña?,Caramel,"White, Beige, Brown",Which spice is sprinkled on top of the Suspiro de limeña?,Cinnamon,"Cocoa, Ginger, Muscade",Which of these desserts is a Suspiro de limeña?,https://upload.wikimedia.org/wikipedia/commons/0/02/3310_suspiro.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3d/Ujuvad_saarekesed.jpg,https://upload.wikimedia.org/wikipedia/commons/7/75/Tarte_au_citron.JPG,https://upload.wikimedia.org/wikipedia/commons/9/96/Flan_con_dulce_de_leche.jpg
Ketupat,"Main, Other Uses",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Ketupat2.jpg/500px-Ketupat2.jpg,Ketupat is used in Bali for temple decorations.,TRUE,FALSE,"The Ketupat
is characteristic of which region?",Southeast Asia,"China, India, Pakistan",Which is the shape Ketupat  Dumplings?,Diamond,"Cylinder, Round, Square",Ketupat is rice wrapped which with type of leaves?,Palm Leaves,"Grape Leaves, Corn Leaves, Banana Leaves",Which of these is a plate of Ketupat?,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Kulit_ketupat.JPG/440px-Kulit_ketupat.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Bollo_de_yuca.jpg/500px-Bollo_de_yuca.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Pamonhas.jpg/500px-Pamonhas.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Pamonhas.jpg/500px-Pamonhas.jpg
Imperial Crown of the Holy Roman Empire,"Main, Appearance",https://upload.wikimedia.org/wikipedia/commons/0/07/Holy_Roman_Empire_Crown_%28Imperial_Treasury%292.jpg,When was the Crown of the  Holy Roman Empire made?,10-11th century,"15-16th century, 14-15th century, 19th century",Where is the crown being kept?,Vienna,"Praga, Rome, Copenhagen",How many hinged plates construct the base of the crown?,8,"6,10,1",Are the gemstones cut into facets or round-shaped?,Round Shaped,Faceted,Which of these is the IMperial Crown of the Holy Roman Empire?,https://upload.wikimedia.org/wikipedia/commons/9/90/Reichskrone_HRR_Front.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/ImperialCrownOfIndia.jpg/1280px-ImperialCrownOfIndia.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Catherine_I_of_Russia%27s_crown_framework_01_by_shakko.JPG/800px-Catherine_I_of_Russia%27s_crown_framework_01_by_shakko.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/A_Szent_Korona_el%C3%B6lr%C5%91l_2.jpg/800px-A_Szent_Korona_el%C3%B6lr%C5%91l_2.jpg
Olmec colossal heads,Main,https://upload.wikimedia.org/wikipedia/commons/d/d5/Olmeca_head_in_Villahermosa.jpg,Who are the preople represented in the Olmec heads?,Olmec rulers,"Children, Warriors, Women",In which Mexican region you can find most of the Olmec heads? ,Veracruz,"Chiapas, Michoacan, Yucatan",How is the nose of a typical Olmec Head?,Flat,"Hooked, Aquiline, Upturned",In which material were the Olmenc Heads carved?,Basalt,"Marble, Granite, Limestone",Which of these is a Olmec Head?,https://upload.wikimedia.org/wikipedia/commons/2/20/CabezaColosal1_MuseoXalapa_v1.1.jpg,https://upload.wikimedia.org/wikipedia/commons/9/98/Statue_n%C3%A9olithique_model%C3%A9e_%28mus%C3%A9e_arch%C3%A9ologique%2C_Amman%2C_Jordanie%29_%2838288033154%29.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4e/Ahu-Akivi-1.JPG,https://commons.wikimedia.org/wiki/File:Mayan_-_Stucco_Portrait_Head_-_Walters_20092026.jpg
Gayer-Anderson cat,"Main, Style and detail, Construction",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/British_Museum_Egypt_101-black.jpg/500px-British_Museum_Egypt_101-black.jpg,Which egyptan deity does the statue represent?,Bastet,"Sekhmet, Isis, Osiris",Which museum is now hosting the statue?,British Museum in London,"The Egyptian Museum in Cairo, The Egyptian Museum
in Turin, the Louvre Museum in Paris
",What is sculpted on the staute's forehead?,A scarab,"A ring, A geroglyph, A sceptrum",Which is the material of the statue's ornaments?,Gold,"Silver, Platinum, Gemstones",Which of these is the Gayer-Anderson cat?,https://commons.wikimedia.org/wiki/Category:Gayer-Anderson_cat#/media/File:Gayer-Anderson_Cat_01-black.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/WLA_brooklynmuseum_Mother_Cat_with_Kittens.jpg/1280px-WLA_brooklynmuseum_Mother_Cat_with_Kittens.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/WLA_brooklynmuseum_bronze_cat_2.jpg/800px-WLA_brooklynmuseum_bronze_cat_2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Gato_en_bronce_%2826186458573%29.jpg/800px-Gato_en_bronce_%2826186458573%29.jpg
